year,total,renew
1989,154.708,15.63
1990,156.599,16.872
1991,159.328,16.4489
1992,163.473,17.6363
1993,167.292,17.3389
1994,172.993,16.9879
1995,177.456,16.6894
1996,182.798,17.8518
1997,195.161,16.8035
1998,203.781,17.7617
1999,210.018,17.9555
2000,223.64,17.838
2001,224.87,17.4263
2002,222.1204,18.835
2003,229.7844,18.9042
2004,228.6497,20.4055
2005,232.8294,21.7441
2006,243.1525,21.1863
2007,243.2171,19.8693
2008,247.5247,18.6445
2009,252.2792,21.8032
2010,253.5772,26.5242
2011,250.740247,26.655947
2012,249.7087,33.1995
2013,249.036842,36.588847
2014,252.390832,34.035768
2015,257.428585,38.146048
2016,258.016971,40.454576
2017,261.053851,44.292267
