time, frequency
0.5404838903,49.9994893141
1.8401738066,49.9987746355
1.8610013175,49.9594972425
1.8702838663,49.935419873
2.0460534196,49.9020440554
2.1490597676,49.8677664486
2.4012523123,49.8288326707
2.9032419052,49.8059133321
3.5483291412,49.8462786168
3.6941549886,49.875115429
4.7646424722,49.8845156791
6.1160019164,49.8383827696
7.2897951851,49.8733214698
8.5462330818,49.8858752492
10.0775541981,49.8731929239
11.6915199425,49.8815484102
13.3054856869,49.8770493022
14.9194514313,49.8792988562
16.5334171757,49.8789774913
18.1473829201,49.8788703697
19.7124406117,49.8863421027
20.5973769314,49.9283554572
21.0710863576,49.9639043863
21.5702479339,49.9769911504
22.0355731225,49.9667636591
23.2827284705,49.956878714
24.7499700563,49.9900394382
26.3639358007,49.981171517
27.9779015451,49.9912409493
29.5918672895,49.9965970303
31.2058330339,49.9999178006
32.8197987783,50.000346287
34.4337645227,50.000346287
36.0477302671,50.000346287
37.9922745239,49.9997784696
39.9178851452,49.9988604468
40.0817463169,49.9686097217
40.1829560426,49.932709696
40.2352577155,49.848340708
40.2656006707,49.9044295883
40.2656006707,49.8784472393
40.3135106001,49.8196206874
40.3760929453,49.7505386687
40.3819818741,49.7805862832
40.4895795904,49.720420354
40.5678823811,49.6601012409
40.5692298479,49.6331467632
40.6045634208,49.6889508785
40.6611570248,49.6092920354
41.156863558,49.5791273271
41.652892562,49.610619469
41.7611390586,49.6364755675
42.063420769,49.6975134667
42.063420769,49.6715900346
42.1367828482,49.7204910543
42.2101449275,49.7540736822
42.2628458498,49.7868988072
42.3966942149,49.8097345133
42.7970415619,49.8622915865
43.2324230447,49.8311706426
43.5537190083,49.807079646
43.5537190083,49.7725663717
44.2483313189,49.7300683829
44.8760330579,49.7752212389
44.9979039406,49.8023855329
45.2913522578,49.8480461235
45.6836148042,49.8860475183
46.2357767397,49.9139332436
47.0247933884,49.889380531
47.3328143091,49.8652302168
48.3451610971,49.8590930406
49.0082644628,49.8761061947
49.8398011738,49.8863457099
51.8332534835,49.874700606
52.1487603306,49.9
52.3341118697,49.9255218353
52.9752066116,49.9743362832
53.4623907055,49.9579912729
54.5804886813,49.9186168631
56.2770990538,49.9555462765
58.0563540544,49.9354305852
59.6703197988,49.9420721256
61.2842855432,49.9392869635
62.8982512876,49.9390727203
64.8427955444,49.9415596908
65.1239669421,49.9584070796
65.2458378249,49.978743427
65.472511678,50.0064928819
66.016588813,50.0312044551
66.6861300755,50.0074948698
67.5748592646,49.9810036203
68.5276679842,50.0029650827
69.2768595041,50.0181223548
70.1146843933,50.0089986533
70.9680800096,49.9962756655
72.582045754,50.0017388681
74.1960114984,49.9999178006
75.8099772428,49.9992750708
77.4239429872,50.00120326
79.0379087316,49.9993821925
80.1383399209,49.9990404963
